Nome,Ano de entrada em operação,Tensão (kV),Agente,OBJECTID,Longitude,Latitude,x,y
SE Tauá II,2007,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,426,-40.27534988,-6.00145856,-40.275349878999975,-6.001458563999961
SE Taubaté,-,500/440/230/138,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,427,-45.58638776,-23.0632245,-45.58525658499997,-23.065525865999973
SE Teresina,-,"230/69/13,8",CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,428,-42.80079447,-5.12860483,-42.800794466999946,-5.128604828999926
SE Fortaleza,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,429,-38.54097222,-3.82847778,-38.54097222199994,-3.8284777779999786
SE Teresina III,2017,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,430,-42.687749,-5.088679,-42.68774899999994,-5.088678999999956
SE Leste,-,345/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,431,-46.46853169,-23.59551121,-46.46853169399998,-23.595511212999952
SE Tijuco Preto,1982,750/500/345,FURNAS - Furnas Centrais Elétricas S.A.,432,-46.27317167,-23.709606,-46.273171666999986,-23.709605995999937
SE Timóteo 1,-,"230/13,8",CEMIG - Companhia Energética de Minas Gerais,433,-42.6361478,-19.53822465,-42.63614780299997,-19.538224654999965
SE Acesita,-,"230/69/13,8",CEMIG - Companhia Energética de Minas Gerais,434,-42.637447,-19.534507,-42.63744699999995,-19.534506998999973
SE Tacaimbó,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,435,-36.22304785,-8.33074291,-36.22304784999994,-8.330742905999955
SE Transamazônica,-,"230/34,5",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,436,-53.71512792,-3.70671979,-53.715127920999976,-3.7067197899999655
SE Três Irmãos,1993,440/138,TIJOA - TIJOA PARTICIPAÇÕES E INVESTIMENTOS S.A.,437,-51.30264897,-20.67409639,-51.302648972999975,-20.674096392999957
SE Três Marias,1962,345/289/138,CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,438,-45.25738525,-18.21289062,-45.257385253999985,-18.212890623999954
SE Trindade,2013,500/230,GOIAS TRA - GOIAS TRANSMISSAO SA,439,-49.57726135,-16.61968713,-49.57726135499996,-16.619687130999978
SE Tucuruí,-,500/230/138/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,440,-49.65461828,-3.82428585,-49.65461828499997,-3.8242858489999776
SE Uberaba,-,"230/69/13,8",COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,441,-49.20847671,-25.47678073,-49.20847670699993,-25.47678073399993
SE Umbará,-,230/69,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,442,-49.31743233,-25.59204648,-49.31743233499998,-25.592046480999954
SE Conversora Uruguaiana,-,"230/132/13,8",ELETROSUL - ELETROSUL Centrais Elétricas S.A.,443,-57.00500312,-29.80564219,-57.00500312499997,-29.805642190999947
SE Charqueadas,-,"230/69/34,5",ELETROSUL - ELETROSUL Centrais Elétricas S.A.,444,-51.62249947,-29.95201326,-51.62249947099997,-29.952013259999944
SE Utinga,-,230/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,445,-48.3799491,-1.33547433,-48.37994909599996,-1.3354743309999435
SE Várzea da Palma 1,1965,345/138,CEMIG - Companhia Energética de Minas Gerais,446,-44.73709878,-17.59273716,-44.737098783999954,-17.59273716399997
